category,subcategory,name,brand,imageUrl,isFlexible
Alimentos y bebidas,Conservas,Lentejas con tocino 425 gr,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42226195_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Sopas, cremas y bases",Tallarines Shin Ramyun With Cheese 136 g,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43385230_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Aceites,Aceite Aerosol Sabor Mantequilla 170 g,OLEICO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43108306_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Conserva Jamón Endiablado 115 g,DUW,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43314469_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Salsa De Soya Siyau Frasco x 350 mL,KIKKO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10175575_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Cubo de Sabor Gallina 8 unidades,MAGGI,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41198225_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Conserva Jamon Endiablado 54 g,DUW,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43314468_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Salsa Blanca Frasco 325 g,CASA VERDE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43184228_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Filete De Atún En Aceite x 140 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43092550_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Fideos Penne Rigate Premium de 500 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42326944_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Pre-mezcla de panqueques con chispas de sabor a chocolate,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42129572_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Arroz Extra de 10 kg,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41943598_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Conserva Vegetales Mixtos Envase 425 g,VALLE FERTIL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41875961_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Alimentos y bebidas,Arroz Costeño Añejo Bolsa x 10 Kg,COSTENO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43406235_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Leche en Polvo,Hojuelas De Avena Original Doypack x 400 g,HUELLA VERDE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43442655_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Trozos De Atún En Aceite Pack 12 x 140 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43194331_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,GELATINA SABOR NARANJA LIGHT X 22G,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41344044_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Tapenade de Aceitunas y Alcachofa de 185 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42020971_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Postres y repostería,Gelatina Cereza 130g,UNIVERSAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43108314_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Alcachofa a la parrilla 220 g,CASA VERDE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41278450_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Chocolates,Display Chocolate Cookies and Creme Caja 36 Unidades x 43 g,HERSHEYS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43462339_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Aceituna Verde sin Pepa 240 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40765304_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Cocktail y Snack,Costillitas Bbq Envase x 105 g,PRINGLES,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43425420_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Gansito Minix Doypack x 240 g,MARINELA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43385203_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Cereal Bar Chips 8 Unidades 21g,COSTA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42668444_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Ketchup de 200 g para la,ALACENA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42747253_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Pinguinos Triple Chocolate Bolsa x 80 g,MARINELA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43385204_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Harinas,Blend Nutricional 7 Semillas Clasico Doy Pack 200 g,NATURANDES,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41040734_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Pallar 500 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40449200_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Ajo molido Siba de 250 g,SIBARITA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41163298_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Pinguinos Minix Triple Chocolate Doypack x 200 g,MARINELA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43385205_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,MANJARBLANCO X 500G,BONLE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42946518_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Salsa Hunts Picante Wings 550 g,HUNT,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43254703_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Salsa Bbq Original 510 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40694047_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Piña en Trozos 565 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40871946_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Mezcla Concentrada Leche Topping x 397 g,NESTLE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43392922_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Salsa Bbq Picante Valle Fértil 370 g,VALLE FERTIL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40532155_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Aceituna Botija sin Pepa 240 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40765303_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Sopas, cremas y bases",Sopa Instantánea Ajinomen Sabor Gallina Criolla 80 g,AJINOMOTO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41074829_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Ketchup 100 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40717270_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Filete de Atún en Aceite de Girasol 140g,FLORIDA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43105017_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Crema Huancaina al plato,NICOLINI,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41905735_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,DULCE DE LECHE ESTILO COLONIAL 400G,LA SERENISIMA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42127346_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Vinagreta Italiana x 240G g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43189638_1/w=500,h=500,format=jpg",true
