"brand","name","price","image","link","category","subcategory","packaging"
"No brand","Coco Rallado Kariño 35 g","S/ 3.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40939089_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113711315/coco-rallado-x-35gr/113711316?exp=tottus","Alimentos y bebidas - Despensa","Postres y repostería","rigid packaging"
"D'GUSSTO","D Gussto Fideo Canuto 250 g","S/ 1.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43385417_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/135504940/d-gussto-fideo-canuto-250-g/135504941?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","flexible packaging"
"TOTTUS","Canela molida de 50 g","S/ 8","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42610266_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113708763/canela-molida-tottus-x-50-gr/113708764?exp=tottus","Alimentos y bebidas - Despensa","Vinagres, aderezos y condimentos","rigid packaging"
"D'GUSSTO","D Gussto Fideo Codo 250 g","S/ 1.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43385420_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/135504917/d-gussto-fideo-codo-250-g/135504918?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","flexible packaging"
"TOTTUS","Lentejas bebé de 500 g","S/ 5.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41535432_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113708319/tottus-lenteja-bebe/113708321?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","rigid packaging"
"COSTENO","Arroz Extra Costeño 750 g","S/ 4.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10472603_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113707117/arroz-extra-costeno-34-kg/113707119?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","flexible packaging"
"TOTTUS","Menta x 25 Sobres","S/ 7.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42889363_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/116926107/menta-tottus-x-25-sobres/116926108?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","flexible packaging"
"TOTTUS","Keke de Naranja Rectangular","S/ 8.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41529730_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/115776279/keke-sabor-naranja-rectangular/115776280?exp=tottus","Alimentos y bebidas - Panadería y pastelería","Pastelería","rigid packaging"
"No brand","Ketchup Picante Guajira Salsas Botella x 330 g","S/ 19.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43431955_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/138436686/ketchup-picante-botella-330g/138436687?exp=tottus","Alimentos y bebidas - Despensa","Vinagres, aderezos y condimentos","rigid packaging"
"No brand","Ketchup Tradicional Guajira Salsas Botella x 330 g","S/ 19.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43431956_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/138436611/ketchup-tradicional-botella-330g/138436612?exp=tottus","Alimentos y bebidas - Despensa","Vinagres, aderezos y condimentos","rigid packaging"
"MOLITALIA","Harina Preparada 1 kg","S/ 7.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10175443_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/114405236/harina-preparada-molitalia-x-1k/114405237?exp=tottus","Alimentos y bebidas - Despensa","Harinas","flexible packaging"
"TOTTUS","Arveja 1 kg","S/ 7.70","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42276927_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113706938/tottus-arveja-tottus-x-1kg/113706939?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","rigid packaging"
"TOTTUS","Fideo Spaghetti 500 g","S/ 4.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42187956_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113714028/pasta-spaguetti--tottus-x500gr/113714030?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","flexible packaging"
"AGNESI","Pomodoro Arriata 400 g","S/ 19.40","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10173597_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/125171414/pomodoro-arriata-agnesi-400-g./125171415?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","rigid packaging"
